"","route","Ntrials","NPres","Y","X"
"1",6,200,4,41.5335247,-79.3470999
"2",9,50,1,41.2987587,-79.0916519
"3",10,200,12,41.6359508,-79.0433273
"4",12,200,6,41.3997727,-79.2031479
"5",13,200,14,41.1631773,-78.0649572
"6",14,200,32,41.6976452,-78.08346
"7",15,150,4,41.6864267,-78.3955159
"8",16,200,8,41.5603287,-78.8505629
"9",18,150,10,41.9617687,-78.3403929
"10",19,200,5,41.6212967,-78.6077306
"11",20,100,3,41.7379447,-78.1593319
"12",23,150,5,41.553018,-77.9672237
"13",24,100,3,41.8772966,-77.4017208
"14",28,150,17,41.6430967,-77.9110382
"15",29,100,10,41.3121387,-76.6638159
"16",31,50,1,41.7460317,-76.0235889
"17",34,200,17,41.4410897,-76.9073399
"18",41,250,11,41.3403297,-75.2513179
"19",42,50,1,41.2581129,-75.231938
"20",43,200,7,41.9413666,-75.6172024
"21",44,100,2,41.7952107,-75.4205569
"22",59,50,1,40.335141,-78.329529
"23",60,250,10,40.9149712,-78.0608234
"24",66,50,1,40.4152277,-77.7806249
"25",67,100,3,40.7666107,-77.8241719
"26",68,50,1,40.3760787,-77.6852029
"27",79,50,1,40.4840637,-76.7674909
"28",90,50,1,39.8744757,-79.0688169
"29",101,50,1,41.0707632,-80.0351733
"30",126,250,34,41.4517767,-77.2775949
"31",127,150,21,41.2137917,-77.0343089
"32",132,250,12,41.546735,-76.9628251
"33",137,100,2,41.1227242,-75.5403361
"34",140,50,1,41.8845178,-75.3145748
"35",155,250,23,40.1983067,-79.2656249
"36",165,200,6,40.3267106,-77.3695842
"37",173,50,1,40.5023917,-76.9345269
"38",189,100,11,39.9853173,-79.4174638
"39",903,150,3,40.829387,-75.5231529
"40",904,150,7,40.6860806,-77.7742082
"41",906,250,41,40.6503909,-77.7472321
"42",907,100,2,41.4430932,-76.2415237
"43",909,250,49,41.735842,-77.4328267
"44",910,250,63,41.1112092,-77.9795623
"45",911,250,53,41.2665946,-77.604186
